temperature,date,version,ID,length,clutch no,
8,6/29/2016,1,2G.1.1,877.835,,
8,6/29/2016,1,1K.1.2,863.541,,
8,07/04/2016,2,2N1.1,760.996,,
8,07/05/2016,2,L,684.449,,
8,07/05/2016,2,A,664.756,,
8,07/06/2016,2,E,615.529,,
8,07/06/2016,2,F,1042.315,,
8,07/06/2016,2,B,820.717,,
8,07/18/2016,1,1B13,1829.989,1,
8,07/18/2016,1,B.2.1.1,615.005,1,
8,07/18/2016,1,B.2.1.2,620.068,1,
8,07/18/2016,1,B.2.1.3,588.383,1,
8,07/18/2016,1,1A13,2029.284,1,
8,07/18/2016,1,A.2.1.1,656.899,1,
8,07/18/2016,1,A.2.1.2,657.188,1,
8,07/18/2016,1,A.2.1.3,645.608,1,
8,07/18/2016,1,1C11,1934.269,1,
8,07/18/2016,1,C.2.1.1,616.166,1,
8,07/18/2016,1,C.2.1.2,612.588,1,
8,07/18/2016,1,C.2.1.3,593.647,1,
8,07/19/2016,1,1F11,1980.772,1,
8,07/19/2016,1,F.2.1.1,679.519,1,
8,07/19/2016,1,F.2.1.2,663.825,1,
8,07/19/2016,1,F.2.1.3,680.365,1,
8,07/24/2016,1,1C11,2162.526,2,
8,07/25/2016,1,1B13,1835.768,2,
8,07/27/2016,1,2A13,2058.789,2,
8,07/28/2016,1,1F11,2160.09,2,
8,07/28/2016,2,F,2048.017,1,
8,07/28/2016,2,F.1.A,634.878,1,
8,07/28/2016,2,F.1.B,631.837,1,
8,07/28/2016,2,F.1.C,638.993,1,
8,08/02/2016,1,1C11,2218.595,3,
8,08/03/2016,1,B13,2029.782,3,
8,08/04/2016,2,E,1839.887,1,
8,08/04/2016,2,E.1.A,600.859,1,
8,08/04/2016,2,E.1.B,596.81,1,
8,08/04/2016,2,E.1.C,558.522,1,
8,08/05/2016,1,2A13,2235.138,3,
8,08/08/2016,2,F,2185.218,2,
8,08/08/2016,1,1F1.1,2281.256,3,
8,08/12/2016,1,B,2156.358,4,
8,08/12/2016,1,B.4.A,651.464,4,
8,08/12/2016,1,B.4.B,567.754,4,
8,08/12/2016,1,B.4.C,583.683,4,
8,08/13/2016,2,E,2048.905,2,
8,08/15/2016,1,2A13,2355.281,4,
8,08/15/2016,1,2A13.4.A,574.927,4,
8,08/15/2016,1,2A13.4.B,618.777,4,
8,08/15/2016,1,2A13.4.C,596.707,4,
8,08/16/2016,1,1F11.4.A,647.6,4,
8,08/16/2016,1,1F11.4.B,676.82,4,
8,08/16/2016,1,1F11.4.C,599.552,4,
8,08/16/2016,1,1F11,2410.065,4,
12,5/31/2016,2,D6,1842.845,,
12,6/1/2016,2,D6,1743.397,,
12,6/1/2016,2,D5,1808.494,,
12,6/1/2016,2,D4,1606.96,,
12,6/1/2016,2,D3,1745.779,,
12,6/1/2016,2,D2,1688.621,,
12,6/1/2016,2,D1,1864.301,,
12,6/1/2016,2,C6,2086.962,,
12,6/1/2016,2,C5,1923.217,,
12,6/1/2016,2,C4,1732.204,,
12,6/1/2016,2,C3,1483.925,,
12,6/1/2016,2,C1,1654.417,,
12,6/1/2016,2,B6,1802.336,,
12,6/1/2016,2,B5,1792.281,,
12,6/1/2016,2,B4,1787.212,,
12,6/1/2016,2,B3,1487.878,,
12,6/1/2016,2,B2,1309.28,,
12,6/1/2016,2,B1,1905.407,,
12,6/1/2016,2,A6,2049.283,,
12,6/1/2016,2,A5,1966.068,,
12,6/29/2016,1,2G.1.2,861.245,,
12,6/29/2016,1,1K.1.1,853.198,,
12,07/04/2016,1,2N1.2,728.923,,
12,07/05/2016,2,L,692.729,,
12,07/05/2016,2,A,684.041,,
12,07/06/2016,2,E,671.491,,
12,07/06/2016,2,F,990.349,,
12,07/06/2016,2,B,585.788,,
12,07/11/2016,1,1C14,1862.472,1,
12,07/11/2016,1,C.2.1.1,600.772,1,
12,07/11/2016,1,C.2.1.2,584.411,1,
12,07/11/2016,1,C.2.1.3,608.068,1,
12,07/12/2016,1,1F12,1926.266,,
12,07/12/2016,1,F.2.1.1,633.476,,
12,07/12/2016,1,F.2.1.2,597.718,,
12,07/12/2016,1,F.2.1.3,625.014,,
12,07/13/2016,1,1C14,1847.886,,
12,07/13/2016,2,2.E.1.1,2207.028,,
12,07/13/2016,2,E.2.2.1,662.234,,
12,07/13/2016,2,E.2.2.2,685.619,,
12,07/13/2016,2,E.2.2.3,680.682,,
12,07/13/2016,1,1F12,1936.597,1,
12,07/13/2016,1,F.2.1.1,847.319,1,
12,07/13/2016,1,F.2.1.2,796.312,1,
12,07/13/2016,1,F.2.1.3,825.79,1,
12,07/17/2016,2,K,740.783,,INITIAL SIZE
12,07/17/2016,1,1C14,2009.538,,
12,07/17/2016,1,1F12,2100.778,,
12,07/17/2016,2,G,916.6,,INITIAL SIZE
12,07/18/2016,1.00E+00,2E1.1,2269.481,3,
12,07/18/2016,2,N,1877.499,1,
12,07/18/2016,2,N.1.A,596.707,1,
12,07/18/2016,2,N.1.B,585.338,1,
12,07/18/2016,2,N.1.C,580.719,1,
12,07/18/2016,1,2G12,2152.306,1,
12,07/18/2016,1,G.2.1.1,692.931,1,
12,07/18/2016,1,G.2.1.2,707.86,1,
12,07/18/2016,1,G.2.1.3,725.096,1,
12,07/20/2016,2,F,2014.199,1,
12,07/20/2016,2,F.1.A,657.562,1,
