 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,84,2.820,3.203,2.822,3.202,0,0.004,0.004,0
2,0.000,99,3.007,3.070,3.008,3.068,0,0.004,0.004,0
3,0.000,88,3.007,2.870,3.008,2.868,0,0.004,0.004,0
4,0.000,62,3.207,3.090,3.208,3.088,0,0.004,0.004,0
5,0.000,110,3.140,3.330,3.142,3.328,0,0.004,0.004,0
6,0.000,114,3.620,3.383,3.622,3.382,0,0.004,0.004,0
7,0.000,94,3.467,3.117,3.468,3.115,0,0.004,0.004,0
8,0.000,61,3.527,2.990,3.528,2.988,0,0.004,0.004,0
9,0.000,67,3.327,2.710,3.328,2.708,0,0.004,0.004,0
10,0.000,62,3.700,2.630,3.702,2.628,0,0.004,0.004,0
11,0.000,63,3.920,2.857,3.922,2.855,0,0.004,0.004,0
12,0.000,106,3.773,2.943,3.775,2.942,0,0.004,0.004,0
13,0.000,60,3.793,3.237,3.795,3.235,0,0.004,0.004,0
