 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,46,2.327,2.817,2.328,2.815,0,0.004,0.004,0
2,0.000,90,2.393,2.550,2.395,2.548,0,0.004,0.004,0
3,0.000,45,2.613,2.557,2.615,2.555,0,0.004,0.004,0
4,0.000,42,2.620,2.277,2.622,2.275,0,0.004,0.004,0
5,0.000,54,2.913,2.290,2.915,2.288,0,0.004,0.004,0
6,0.000,52,3.093,2.430,3.095,2.428,0,0.004,0.004,0
7,0.000,63,3.153,2.263,3.155,2.262,0,0.004,0.004,0
8,0.000,76,3.400,2.257,3.402,2.255,0,0.004,0.004,0
9,0.000,68,3.647,2.363,3.648,2.362,0,0.004,0.004,0
10,0.000,48,3.493,2.610,3.495,2.608,0,0.004,0.004,0
11,0.000,55,3.300,2.817,3.302,2.815,0,0.004,0.004,0
12,0.000,46,2.960,2.690,2.962,2.688,0,0.004,0.004,0
13,0.000,81,2.993,3.010,2.995,3.008,0,0.004,0.004,0
14,0.000,62,2.620,2.997,2.622,2.995,0,0.004,0.004,0
