 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,52,1.900,2.303,1.902,2.302,0,0.004,0.004,0
2,0.000,52,2.087,2.337,2.088,2.335,0,0.004,0.004,0
3,0.000,64,1.940,2.010,1.942,2.008,0,0.004,0.004,0
4,0.000,48,2.267,1.937,2.268,1.935,0,0.004,0.004,0
5,0.000,44,2.260,2.223,2.262,2.222,0,0.004,0.004,0
6,0.000,42,2.667,2.183,2.668,2.182,0,0.004,0.004,0
7,0.000,61,2.587,2.057,2.588,2.055,0,0.004,0.004,0
8,0.000,44,2.747,1.770,2.748,1.768,0,0.004,0.004,0
9,0.000,87,2.327,1.690,2.328,1.688,0,0.004,0.004,0
10,0.000,61,2.767,1.530,2.768,1.528,0,0.004,0.004,0
11,0.000,55,3.027,1.637,3.028,1.635,0,0.004,0.004,0
12,0.000,71,3.067,1.910,3.068,1.908,0,0.004,0.004,0
