 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,46,1.520,1.570,1.522,1.568,0,0.004,0.004,0
2,0.000,50,1.760,1.570,1.762,1.568,0,0.004,0.004,0
3,0.000,53,1.760,1.790,1.762,1.788,0,0.004,0.004,0
4,0.000,33,1.813,1.910,1.815,1.908,0,0.004,0.004,0
5,0.000,45,1.627,1.877,1.628,1.875,0,0.004,0.004,0
6,0.000,46,2.233,1.750,2.235,1.748,0,0.004,0.004,0
7,0.000,38,2.420,1.930,2.422,1.928,0,0.004,0.004,0
8,0.000,36,2.193,2.130,2.195,2.128,0,0.004,0.004,0
9,0.000,38,2.607,2.143,2.608,2.142,0,0.004,0.004,0
10,0.000,46,2.387,2.243,2.388,2.242,0,0.004,0.004,0
11,0.000,43,2.527,2.470,2.528,2.468,0,0.004,0.004,0
12,0.000,42,2.407,2.477,2.408,2.475,0,0.004,0.004,0
13,0.000,67,2.227,2.483,2.228,2.482,0,0.004,0.004,0
14,0.000,62,2.367,2.763,2.368,2.762,0,0.004,0.004,0
15,0.000,56,1.887,2.450,1.888,2.448,0,0.004,0.004,0
16,0.000,48,1.880,2.263,1.882,2.262,0,0.004,0.004,0
17,0.000,53,1.687,2.230,1.688,2.228,0,0.004,0.004,0
