 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,46,2.427,2.843,2.428,2.842,0,0.004,0.004,0
2,0.000,58,2.453,3.117,2.455,3.115,0,0.004,0.004,0
3,0.000,40,2.713,3.050,2.715,3.048,0,0.004,0.004,0
4,0.000,55,2.773,3.257,2.775,3.255,0,0.004,0.004,0
5,0.000,37,3.040,3.250,3.042,3.248,0,0.004,0.004,0
6,0.000,53,2.993,3.463,2.995,3.462,0,0.004,0.004,0
7,0.000,46,3.180,3.470,3.182,3.468,0,0.004,0.004,0
8,0.000,63,3.480,3.617,3.482,3.615,0,0.004,0.004,0
9,0.000,45,3.393,3.350,3.395,3.348,0,0.004,0.004,0
10,0.000,37,3.073,3.030,3.075,3.028,0,0.004,0.004,0
11,0.000,41,2.800,2.743,2.802,2.742,0,0.004,0.004,0
