 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,93,1.720,2.717,1.722,2.715,0,0.004,0.004,0
2,0.000,52,1.953,2.890,1.955,2.888,0,0.004,0.004,0
3,0.000,82,2.100,2.997,2.102,2.995,0,0.004,0.004,0
4,0.000,74,2.200,2.797,2.202,2.795,0,0.004,0.004,0
5,0.000,69,2.160,2.630,2.162,2.628,0,0.004,0.004,0
6,0.000,76,1.893,2.523,1.895,2.522,0,0.004,0.004,0
7,0.000,88,1.667,2.390,1.668,2.388,0,0.004,0.004,0
8,0.000,76,1.887,2.097,1.888,2.095,0,0.004,0.004,0
9,0.000,95,1.787,1.817,1.788,1.815,0,0.004,0.004,0
10,0.000,67,2.027,1.563,2.028,1.562,0,0.004,0.004,0
11,0.000,67,2.140,1.270,2.142,1.268,0,0.004,0.004,0
12,0.000,69,2.420,1.410,2.422,1.408,0,0.004,0.004,0
13,0.000,86,2.420,1.690,2.422,1.688,0,0.004,0.004,0
14,0.000,84,2.673,1.663,2.675,1.662,0,0.004,0.004,0
15,0.000,71,2.240,1.903,2.242,1.902,0,0.004,0.004,0
16,0.000,69,2.033,1.897,2.035,1.895,0,0.004,0.004,0
17,0.000,92,2.387,2.177,2.388,2.175,0,0.004,0.004,0
18,0.000,76,2.573,2.063,2.575,2.062,0,0.004,0.004,0
19,0.000,62,2.507,2.457,2.508,2.455,0,0.004,0.004,0
20,0.000,85,2.327,2.317,2.328,2.315,0,0.004,0.004,0
21,0.000,73,2.173,2.410,2.175,2.408,0,0.004,0.004,0
