 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,51,2.287,2.397,2.288,2.395,0,0.004,0.004,0
2,0.000,47,2.327,2.797,2.328,2.795,0,0.004,0.004,0
3,0.000,46,2.553,2.577,2.555,2.575,0,0.004,0.004,0
4,0.000,49,2.693,2.763,2.695,2.762,0,0.004,0.004,0
5,0.000,44,2.567,3.003,2.568,3.002,0,0.004,0.004,0
6,0.000,49,2.913,3.090,2.915,3.088,0,0.004,0.004,0
7,0.000,49,2.913,2.883,2.915,2.882,0,0.004,0.004,0
8,0.000,63,3.047,2.617,3.048,2.615,0,0.004,0.004,0
9,0.000,52,2.833,2.577,2.835,2.575,0,0.004,0.004,0
10,0.000,58,2.620,2.277,2.622,2.275,0,0.004,0.004,0
11,0.000,60,2.953,2.303,2.955,2.302,0,0.004,0.004,0
12,0.000,55,3.287,2.563,3.288,2.562,0,0.004,0.004,0
13,0.000,54,3.273,2.803,3.275,2.802,0,0.004,0.004,0
14,0.000,52,3.273,3.057,3.275,3.055,0,0.004,0.004,0
