 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,82,2.660,3.030,2.662,3.028,0,0.004,0.004,0
2,0.000,87,2.680,3.343,2.682,3.342,0,0.004,0.004,0
3,0.000,74,2.980,3.510,2.982,3.508,0,0.004,0.004,0
4,0.000,68,2.820,3.517,2.822,3.515,0,0.004,0.004,0
5,0.000,73,3.193,3.550,3.195,3.548,0,0.004,0.004,0
6,0.000,78,3.120,3.303,3.122,3.302,0,0.004,0.004,0
7,0.000,55,3.040,3.150,3.042,3.148,0,0.004,0.004,0
8,0.000,70,3.280,3.150,3.282,3.148,0,0.004,0.004,0
9,0.000,85,3.007,2.963,3.008,2.962,0,0.004,0.004,0
10,0.000,58,2.980,2.797,2.982,2.795,0,0.004,0.004,0
11,0.000,58,3.207,2.857,3.208,2.855,0,0.004,0.004,0
12,0.000,65,3.487,2.977,3.488,2.975,0,0.004,0.004,0
13,0.000,73,3.327,3.303,3.328,3.302,0,0.004,0.004,0
14,0.000,87,3.533,3.317,3.535,3.315,0,0.004,0.004,0
15,0.000,85,3.720,3.403,3.722,3.402,0,0.004,0.004,0
16,0.000,78,3.740,3.183,3.742,3.182,0,0.004,0.004,0
17,0.000,103,4.107,3.183,4.108,3.182,0,0.004,0.004,0
18,0.000,64,4.140,2.857,4.142,2.855,0,0.004,0.004,0
19,0.000,73,3.820,2.703,3.822,2.702,0,0.004,0.004,0
20,0.000,63,3.540,2.630,3.542,2.628,0,0.004,0.004,0
21,0.000,75,3.287,2.470,3.288,2.468,0,0.004,0.004,0
22,0.000,75,3.833,2.410,3.835,2.408,0,0.004,0.004,0
23,0.000,72,4.027,2.577,4.028,2.575,0,0.004,0.004,0
24,0.000,76,4.060,2.417,4.062,2.415,0,0.004,0.004,0
