 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,81,3.720,3.457,3.722,3.455,0,0.004,0.004,0
2,0.000,39,3.867,3.250,3.868,3.248,0,0.004,0.004,0
3,0.000,48,3.860,3.050,3.862,3.048,0,0.004,0.004,0
4,0.000,37,4.053,2.997,4.055,2.995,0,0.004,0.004,0
5,0.000,50,4.127,3.197,4.128,3.195,0,0.004,0.004,0
6,0.000,52,4.347,3.003,4.348,3.002,0,0.004,0.004,0
7,0.000,38,4.013,2.697,4.015,2.695,0,0.004,0.004,0
8,0.000,30,4.347,2.643,4.348,2.642,0,0.004,0.004,0
9,0.000,64,4.660,2.657,4.662,2.655,0,0.004,0.004,0
