 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,35,1.467,3.050,1.468,3.048,0,0.004,0.004,0
2,0.000,37,1.280,2.997,1.282,2.995,0,0.004,0.004,0
3,0.000,46,1.120,2.777,1.122,2.775,0,0.004,0.004,0
4,0.000,33,1.267,2.690,1.268,2.688,0,0.004,0.004,0
5,0.000,29,1.460,2.797,1.462,2.795,0,0.004,0.004,0
6,0.000,31,1.727,2.943,1.728,2.942,0,0.004,0.004,0
7,0.000,44,1.860,2.550,1.862,2.548,0,0.004,0.004,0
8,0.000,23,1.587,2.570,1.588,2.568,0,0.004,0.004,0
9,0.000,30,1.440,2.490,1.442,2.488,0,0.004,0.004,0
10,0.000,35,1.200,2.457,1.202,2.455,0,0.004,0.004,0
11,0.000,39,1.240,2.257,1.242,2.255,0,0.004,0.004,0
12,0.000,36,1.427,2.043,1.428,2.042,0,0.004,0.004,0
13,0.000,29,1.640,2.183,1.642,2.182,0,0.004,0.004,0
14,0.000,38,1.893,2.310,1.895,2.308,0,0.004,0.004,0
15,0.000,33,2.107,2.650,2.108,2.648,0,0.004,0.004,0
16,0.000,48,2.180,2.250,2.182,2.248,0,0.004,0.004,0
17,0.000,38,2.387,2.317,2.388,2.315,0,0.004,0.004,0
18,0.000,49,2.273,2.030,2.275,2.028,0,0.004,0.004,0
19,0.000,44,2.460,2.003,2.462,2.002,0,0.004,0.004,0
20,0.000,36,2.240,1.763,2.242,1.762,0,0.004,0.004,0
21,0.000,42,2.027,1.877,2.028,1.875,0,0.004,0.004,0
22,0.000,43,2.040,1.537,2.042,1.535,0,0.004,0.004,0
23,0.000,39,1.727,1.770,1.728,1.768,0,0.004,0.004,0
24,0.000,41,1.780,1.990,1.782,1.988,0,0.004,0.004,0
25,0.000,33,1.733,2.357,1.735,2.355,0,0.004,0.004,0
