 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,74,2.880,3.050,2.882,3.048,0,0.004,0.004,0
2,0.000,82,3.100,3.130,3.102,3.128,0,0.004,0.004,0
3,0.000,90,3.167,2.943,3.168,2.942,0,0.004,0.004,0
4,0.000,107,3.393,3.063,3.395,3.062,0,0.004,0.004,0
5,0.000,74,3.500,2.850,3.502,2.848,0,0.004,0.004,0
6,0.000,86,3.820,2.923,3.822,2.922,0,0.004,0.004,0
7,0.000,78,3.873,2.730,3.875,2.728,0,0.004,0.004,0
8,0.000,77,4.267,2.650,4.268,2.648,0,0.004,0.004,0
9,0.000,81,4.273,2.370,4.275,2.368,0,0.004,0.004,0
10,0.000,94,4.120,2.397,4.122,2.395,0,0.004,0.004,0
11,0.000,81,3.987,2.317,3.988,2.315,0,0.004,0.004,0
12,0.000,90,3.753,2.430,3.755,2.428,0,0.004,0.004,0
13,0.000,86,3.640,2.270,3.642,2.268,0,0.004,0.004,0
14,0.000,104,3.773,2.237,3.775,2.235,0,0.004,0.004,0
15,0.000,79,3.613,2.570,3.615,2.568,0,0.004,0.004,0
16,0.000,92,3.373,2.543,3.375,2.542,0,0.004,0.004,0
17,0.000,76,3.280,2.330,3.282,2.328,0,0.004,0.004,0
18,0.000,124,3.207,2.450,3.208,2.448,0,0.004,0.004,0
19,0.000,78,3.207,2.650,3.208,2.648,0,0.004,0.004,0
20,0.000,75,2.840,2.417,2.842,2.415,0,0.004,0.004,0
21,0.000,97,2.847,2.677,2.848,2.675,0,0.004,0.004,0
