 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,76,4.187,2.050,4.188,2.048,0,0.004,0.004,0
2,0.000,89,3.960,2.037,3.962,2.035,0,0.004,0.004,0
3,0.000,106,4.027,1.850,4.028,1.848,0,0.004,0.004,0
4,0.000,78,3.760,1.810,3.762,1.808,0,0.004,0.004,0
5,0.000,79,3.700,1.603,3.702,1.602,0,0.004,0.004,0
6,0.000,96,3.540,1.463,3.542,1.462,0,0.004,0.004,0
7,0.000,76,3.340,1.597,3.342,1.595,0,0.004,0.004,0
8,0.000,116,3.147,1.397,3.148,1.395,0,0.004,0.004,0
9,0.000,85,3.140,1.643,3.142,1.642,0,0.004,0.004,0
10,0.000,76,2.913,1.637,2.915,1.635,0,0.004,0.004,0
11,0.000,89,2.827,1.350,2.828,1.348,0,0.004,0.004,0
12,0.000,92,2.473,1.490,2.475,1.488,0,0.004,0.004,0
13,0.000,83,2.480,1.783,2.482,1.782,0,0.004,0.004,0
14,0.000,79,2.687,1.790,2.688,1.788,0,0.004,0.004,0
15,0.000,112,2.573,2.103,2.575,2.102,0,0.004,0.004,0
16,0.000,96,2.873,1.983,2.875,1.982,0,0.004,0.004,0
17,0.000,96,2.873,2.197,2.875,2.195,0,0.004,0.004,0
18,0.000,86,3.020,2.037,3.022,2.035,0,0.004,0.004,0
19,0.000,110,3.273,2.263,3.275,2.262,0,0.004,0.004,0
20,0.000,79,3.427,1.983,3.428,1.982,0,0.004,0.004,0
21,0.000,110,3.453,2.150,3.455,2.148,0,0.004,0.004,0
22,0.000,96,3.653,2.270,3.655,2.268,0,0.004,0.004,0
23,0.000,90,3.247,2.030,3.248,2.028,0,0.004,0.004,0
24,0.000,93,3.420,1.757,3.422,1.755,0,0.004,0.004,0
