 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,60,3.393,2.143,3.395,2.142,0,0.004,0.004,0
2,0.000,73,3.360,1.990,3.362,1.988,0,0.004,0.004,0
3,0.000,53,3.133,2.003,3.135,2.002,0,0.004,0.004,0
4,0.000,88,3.153,1.550,3.155,1.548,0,0.004,0.004,0
5,0.000,64,3.153,1.297,3.155,1.295,0,0.004,0.004,0
6,0.000,125,3.347,1.537,3.348,1.535,0,0.004,0.004,0
7,0.000,63,3.413,1.670,3.415,1.668,0,0.004,0.004,0
8,0.000,71,3.433,1.397,3.435,1.395,0,0.004,0.004,0
9,0.000,68,3.727,1.550,3.728,1.548,0,0.004,0.004,0
10,0.000,62,3.727,1.850,3.728,1.848,0,0.004,0.004,0
11,0.000,66,4.020,1.850,4.022,1.848,0,0.004,0.004,0
12,0.000,71,3.600,1.797,3.602,1.795,0,0.004,0.004,0
