 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,57,2.373,2.063,2.375,2.062,0,0.004,0.004,0
2,0.000,88,2.300,1.817,2.302,1.815,0,0.004,0.004,0
3,0.000,50,2.467,1.690,2.468,1.688,0,0.004,0.004,0
4,0.000,52,2.660,1.970,2.662,1.968,0,0.004,0.004,0
5,0.000,74,2.567,2.110,2.568,2.108,0,0.004,0.004,0
6,0.000,89,2.413,2.350,2.415,2.348,0,0.004,0.004,0
7,0.000,70,2.693,2.537,2.695,2.535,0,0.004,0.004,0
8,0.000,55,2.753,2.330,2.755,2.328,0,0.004,0.004,0
9,0.000,53,2.960,2.290,2.962,2.288,0,0.004,0.004,0
10,0.000,65,2.973,2.537,2.975,2.535,0,0.004,0.004,0
11,0.000,45,3.167,2.263,3.168,2.262,0,0.004,0.004,0
12,0.000,68,3.267,2.463,3.268,2.462,0,0.004,0.004,0
13,0.000,68,3.460,2.517,3.462,2.515,0,0.004,0.004,0
14,0.000,45,3.473,2.050,3.475,2.048,0,0.004,0.004,0
15,0.000,42,3.247,1.997,3.248,1.995,0,0.004,0.004,0
16,0.000,49,2.960,1.877,2.962,1.875,0,0.004,0.004,0
17,0.000,49,2.927,1.563,2.928,1.562,0,0.004,0.004,0
18,0.000,56,3.073,1.697,3.075,1.695,0,0.004,0.004,0
19,0.000,43,3.313,1.697,3.315,1.695,0,0.004,0.004,0
