 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,69,1.600,2.450,1.602,2.448,0,0.004,0.004,0
2,0.000,78,1.773,2.557,1.775,2.555,0,0.004,0.004,0
3,0.000,51,1.767,2.843,1.768,2.842,0,0.004,0.004,0
4,0.000,47,2.000,2.383,2.002,2.382,0,0.004,0.004,0
5,0.000,48,1.940,2.550,1.942,2.548,0,0.004,0.004,0
6,0.000,40,2.060,2.663,2.062,2.662,0,0.004,0.004,0
7,0.000,43,2.360,2.423,2.362,2.422,0,0.004,0.004,0
8,0.000,41,2.480,2.663,2.482,2.662,0,0.004,0.004,0
9,0.000,43,2.633,2.537,2.635,2.535,0,0.004,0.004,0
10,0.000,43,2.760,2.710,2.762,2.708,0,0.004,0.004,0
11,0.000,41,2.933,2.603,2.935,2.602,0,0.004,0.004,0
12,0.000,46,3.047,2.850,3.048,2.848,0,0.004,0.004,0
13,0.000,51,3.020,3.090,3.022,3.088,0,0.004,0.004,0
14,0.000,57,2.793,3.290,2.795,3.288,0,0.004,0.004,0
15,0.000,79,2.873,2.963,2.875,2.962,0,0.004,0.004,0
16,0.000,39,2.700,3.003,2.702,3.002,0,0.004,0.004,0
17,0.000,47,2.340,2.937,2.342,2.935,0,0.004,0.004,0
18,0.000,49,2.347,3.223,2.348,3.222,0,0.004,0.004,0
19,0.000,62,2.233,3.070,2.235,3.068,0,0.004,0.004,0
20,0.000,56,2.007,3.070,2.008,3.068,0,0.004,0.004,0
