 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,55,1.720,3.063,1.722,3.062,0,0.004,0.004,0
2,0.000,55,1.593,2.850,1.595,2.848,0,0.004,0.004,0
3,0.000,36,2.027,2.803,2.028,2.802,0,0.004,0.004,0
4,0.000,70,2.047,2.557,2.048,2.555,0,0.004,0.004,0
5,0.000,41,1.773,2.483,1.775,2.482,0,0.004,0.004,0
6,0.000,51,1.433,2.310,1.435,2.308,0,0.004,0.004,0
7,0.000,56,1.580,1.970,1.582,1.968,0,0.004,0.004,0
8,0.000,47,1.773,2.090,1.775,2.088,0,0.004,0.004,0
9,0.000,39,2.067,2.290,2.068,2.288,0,0.004,0.004,0
10,0.000,37,2.207,2.190,2.208,2.188,0,0.004,0.004,0
11,0.000,42,2.360,2.497,2.362,2.495,0,0.004,0.004,0
12,0.000,82,2.393,2.257,2.395,2.255,0,0.004,0.004,0
13,0.000,38,2.587,2.090,2.588,2.088,0,0.004,0.004,0
14,0.000,41,2.287,1.843,2.288,1.842,0,0.004,0.004,0
15,0.000,45,1.973,1.777,1.975,1.775,0,0.004,0.004,0
16,0.000,112,1.693,1.770,1.695,1.768,0,0.004,0.004,0
17,0.000,50,2.273,1.377,2.275,1.375,0,0.004,0.004,0
18,0.000,48,2.500,1.663,2.502,1.662,0,0.004,0.004,0
