 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,57,3.067,2.643,3.068,2.642,0,0.004,0.004,0
2,0.000,64,3.153,2.970,3.155,2.968,0,0.004,0.004,0
3,0.000,41,3.400,2.903,3.402,2.902,0,0.004,0.004,0
4,0.000,53,3.473,3.083,3.475,3.082,0,0.004,0.004,0
5,0.000,47,3.593,3.210,3.595,3.208,0,0.004,0.004,0
6,0.000,53,3.740,2.810,3.742,2.808,0,0.004,0.004,0
7,0.000,52,3.480,2.677,3.482,2.675,0,0.004,0.004,0
8,0.000,49,3.373,2.330,3.375,2.328,0,0.004,0.004,0
9,0.000,54,3.707,2.403,3.708,2.402,0,0.004,0.004,0
