 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,64,4.260,3.283,4.262,3.282,0,0.004,0.004,0
2,0.000,54,4.040,3.230,4.042,3.228,0,0.004,0.004,0
3,0.000,60,4.060,3.057,4.062,3.055,0,0.004,0.004,0
4,0.000,86,4.420,3.070,4.422,3.068,0,0.004,0.004,0
5,0.000,52,4.327,2.850,4.328,2.848,0,0.004,0.004,0
6,0.000,73,4.400,2.597,4.402,2.595,0,0.004,0.004,0
7,0.000,56,4.133,2.517,4.135,2.515,0,0.004,0.004,0
8,0.000,93,4.247,2.237,4.248,2.235,0,0.004,0.004,0
9,0.000,57,4.033,2.130,4.035,2.128,0,0.004,0.004,0
10,0.000,68,3.853,1.843,3.855,1.842,0,0.004,0.004,0
11,0.000,68,3.667,2.017,3.668,2.015,0,0.004,0.004,0
12,0.000,53,3.780,2.403,3.782,2.402,0,0.004,0.004,0
13,0.000,60,3.500,2.330,3.502,2.328,0,0.004,0.004,0
14,0.000,56,3.580,2.617,3.582,2.615,0,0.004,0.004,0
15,0.000,53,3.820,2.623,3.822,2.622,0,0.004,0.004,0
16,0.000,57,3.740,2.910,3.742,2.908,0,0.004,0.004,0
17,0.000,64,4.113,2.777,4.115,2.775,0,0.004,0.004,0
18,0.000,55,4.293,3.123,4.295,3.122,0,0.004,0.004,0
