 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,74,2.307,2.037,2.308,2.035,0,0.004,0.004,0
2,0.000,83,2.020,2.017,2.022,2.015,0,0.004,0.004,0
3,0.000,78,1.920,1.783,1.922,1.782,0,0.004,0.004,0
4,0.000,73,1.760,2.050,1.762,2.048,0,0.004,0.004,0
5,0.000,74,1.993,2.183,1.995,2.182,0,0.004,0.004,0
6,0.000,59,2.273,2.443,2.275,2.442,0,0.004,0.004,0
7,0.000,80,1.987,2.563,1.988,2.562,0,0.004,0.004,0
8,0.000,69,2.133,2.830,2.135,2.828,0,0.004,0.004,0
9,0.000,79,2.027,3.110,2.028,3.108,0,0.004,0.004,0
10,0.000,71,1.747,2.877,1.748,2.875,0,0.004,0.004,0
11,0.000,67,1.700,2.477,1.702,2.475,0,0.004,0.004,0
