 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,77,1.580,2.410,1.582,2.408,0,0.004,0.004,0
2,0.000,61,1.720,2.310,1.722,2.308,0,0.004,0.004,0
3,0.000,62,1.720,2.597,1.722,2.595,0,0.004,0.004,0
4,0.000,88,1.880,2.703,1.882,2.702,0,0.004,0.004,0
5,0.000,62,1.980,2.490,1.982,2.488,0,0.004,0.004,0
6,0.000,68,2.040,2.330,2.042,2.328,0,0.004,0.004,0
7,0.000,57,2.047,2.623,2.048,2.622,0,0.004,0.004,0
8,0.000,88,2.347,2.570,2.348,2.568,0,0.004,0.004,0
9,0.000,62,2.567,2.883,2.568,2.882,0,0.004,0.004,0
10,0.000,62,2.180,2.843,2.182,2.842,0,0.004,0.004,0
11,0.000,61,2.193,3.057,2.195,3.055,0,0.004,0.004,0
12,0.000,74,1.993,3.117,1.995,3.115,0,0.004,0.004,0
13,0.000,72,1.727,3.017,1.728,3.015,0,0.004,0.004,0
14,0.000,81,2.140,3.510,2.142,3.508,0,0.004,0.004,0
15,0.000,75,2.280,3.390,2.282,3.388,0,0.004,0.004,0
16,0.000,123,2.447,3.563,2.448,3.562,0,0.004,0.004,0
17,0.000,75,2.613,3.697,2.615,3.695,0,0.004,0.004,0
18,0.000,64,2.613,3.343,2.615,3.342,0,0.004,0.004,0
19,0.000,68,2.480,3.177,2.482,3.175,0,0.004,0.004,0
