 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,30,2.687,2.377,2.688,2.375,0,0.004,0.004,0
2,0.000,42,2.587,2.077,2.588,2.075,0,0.004,0.004,0
3,0.000,29,2.587,1.770,2.588,1.768,0,0.004,0.004,0
4,0.000,31,2.673,1.470,2.675,1.468,0,0.004,0.004,0
5,0.000,36,2.793,1.770,2.795,1.768,0,0.004,0.004,0
6,0.000,26,2.820,1.943,2.822,1.942,0,0.004,0.004,0
7,0.000,42,2.827,2.197,2.828,2.195,0,0.004,0.004,0
8,0.000,32,3.007,2.203,3.008,2.202,0,0.004,0.004,0
9,0.000,48,2.913,2.423,2.915,2.422,0,0.004,0.004,0
10,0.000,32,3.140,2.443,3.142,2.442,0,0.004,0.004,0
11,0.000,43,3.233,2.210,3.235,2.208,0,0.004,0.004,0
12,0.000,33,3.113,1.997,3.115,1.995,0,0.004,0.004,0
13,0.000,37,3.147,1.737,3.148,1.735,0,0.004,0.004,0
14,0.000,46,3.000,1.737,3.002,1.735,0,0.004,0.004,0
15,0.000,39,3.027,1.390,3.028,1.388,0,0.004,0.004,0
