 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,88,1.773,3.623,1.775,3.622,0,0.004,0.004,0
2,0.000,79,2.080,3.810,2.082,3.808,0,0.004,0.004,0
3,0.000,77,2.400,3.937,2.402,3.935,0,0.004,0.004,0
4,0.000,34,2.240,3.670,2.242,3.668,0,0.004,0.004,0
5,0.000,44,2.020,3.317,2.022,3.315,0,0.004,0.004,0
6,0.000,59,2.247,3.283,2.248,3.282,0,0.004,0.004,0
7,0.000,32,2.247,3.043,2.248,3.042,0,0.004,0.004,0
8,0.000,32,2.493,3.363,2.495,3.362,0,0.004,0.004,0
9,0.000,63,2.493,3.557,2.495,3.555,0,0.004,0.004,0
10,0.000,53,2.760,3.777,2.762,3.775,0,0.004,0.004,0
11,0.000,51,2.773,3.510,2.775,3.508,0,0.004,0.004,0
12,0.000,42,3.047,3.523,3.048,3.522,0,0.004,0.004,0
13,0.000,36,3.087,3.110,3.088,3.108,0,0.004,0.004,0
14,0.000,57,3.420,3.123,3.422,3.122,0,0.004,0.004,0
15,0.000,35,2.727,3.130,2.728,3.128,0,0.004,0.004,0
16,0.000,34,2.673,2.857,2.675,2.855,0,0.004,0.004,0
17,0.000,49,3.080,2.730,3.082,2.728,0,0.004,0.004,0
18,0.000,46,2.927,2.943,2.928,2.942,0,0.004,0.004,0
