 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,65,3.913,3.210,3.915,3.208,0,0.004,0.004,0
2,0.000,97,4.240,3.270,4.242,3.268,0,0.004,0.004,0
3,0.000,53,4.173,2.923,4.175,2.922,0,0.004,0.004,0
4,0.000,75,3.860,2.997,3.862,2.995,0,0.004,0.004,0
5,0.000,62,3.900,2.697,3.902,2.695,0,0.004,0.004,0
6,0.000,68,4.080,2.677,4.082,2.675,0,0.004,0.004,0
7,0.000,78,3.900,2.557,3.902,2.555,0,0.004,0.004,0
8,0.000,56,3.840,2.410,3.842,2.408,0,0.004,0.004,0
9,0.000,48,4.107,2.417,4.108,2.415,0,0.004,0.004,0
10,0.000,59,4.280,2.303,4.282,2.302,0,0.004,0.004,0
11,0.000,53,4.300,2.490,4.302,2.488,0,0.004,0.004,0
12,0.000,54,4.513,2.417,4.515,2.415,0,0.004,0.004,0
13,0.000,65,4.493,2.863,4.495,2.862,0,0.004,0.004,0
14,0.000,71,4.547,2.170,4.548,2.168,0,0.004,0.004,0
15,0.000,68,4.293,2.003,4.295,2.002,0,0.004,0.004,0
16,0.000,63,4.013,2.063,4.015,2.062,0,0.004,0.004,0
17,0.000,94,4.487,1.943,4.488,1.942,0,0.004,0.004,0
