 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,52,2.260,2.310,2.262,2.308,0,0.004,0.004,0
2,0.000,49,2.493,2.317,2.495,2.315,0,0.004,0.004,0
3,0.000,58,2.807,2.377,2.808,2.375,0,0.004,0.004,0
4,0.000,62,2.673,2.183,2.675,2.182,0,0.004,0.004,0
5,0.000,68,2.813,1.970,2.815,1.968,0,0.004,0.004,0
6,0.000,51,2.953,2.070,2.955,2.068,0,0.004,0.004,0
7,0.000,48,2.620,1.957,2.622,1.955,0,0.004,0.004,0
8,0.000,53,2.400,1.957,2.402,1.955,0,0.004,0.004,0
9,0.000,63,2.180,1.990,2.182,1.988,0,0.004,0.004,0
10,0.000,67,2.180,1.730,2.182,1.728,0,0.004,0.004,0
11,0.000,45,2.427,1.643,2.428,1.642,0,0.004,0.004,0
12,0.000,58,2.427,1.817,2.428,1.815,0,0.004,0.004,0
13,0.000,95,2.327,1.437,2.328,1.435,0,0.004,0.004,0
14,0.000,80,2.380,1.190,2.382,1.188,0,0.004,0.004,0
15,0.000,40,2.627,1.303,2.628,1.302,0,0.004,0.004,0
16,0.000,45,2.773,1.597,2.775,1.595,0,0.004,0.004,0
17,0.000,73,2.940,1.363,2.942,1.362,0,0.004,0.004,0
18,0.000,54,2.967,1.610,2.968,1.608,0,0.004,0.004,0
19,0.000,56,3.087,1.683,3.088,1.682,0,0.004,0.004,0
20,0.000,44,3.153,1.383,3.155,1.382,0,0.004,0.004,0
21,0.000,84,3.287,1.037,3.288,1.035,0,0.004,0.004,0
22,0.000,87,2.967,1.103,2.968,1.102,0,0.004,0.004,0
23,0.000,92,2.807,0.970,2.808,0.968,0,0.004,0.004,0
