 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,75,1.920,1.817,1.922,1.815,0,0.004,0.004,0
2,0.000,59,2.220,1.837,2.222,1.835,0,0.004,0.004,0
3,0.000,63,2.427,1.737,2.428,1.735,0,0.004,0.004,0
4,0.000,87,2.407,1.497,2.408,1.495,0,0.004,0.004,0
5,0.000,49,2.593,1.650,2.595,1.648,0,0.004,0.004,0
6,0.000,56,2.600,1.897,2.602,1.895,0,0.004,0.004,0
7,0.000,76,2.773,1.877,2.775,1.875,0,0.004,0.004,0
8,0.000,71,2.793,1.697,2.795,1.695,0,0.004,0.004,0
9,0.000,72,2.827,1.297,2.828,1.295,0,0.004,0.004,0
10,0.000,50,2.993,1.570,2.995,1.568,0,0.004,0.004,0
11,0.000,75,3.067,1.290,3.068,1.288,0,0.004,0.004,0
12,0.000,56,3.380,1.610,3.382,1.608,0,0.004,0.004,0
13,0.000,54,3.160,1.850,3.162,1.848,0,0.004,0.004,0
14,0.000,61,3.147,1.623,3.148,1.622,0,0.004,0.004,0
