 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,69,2.713,2.757,2.715,2.755,0,0.004,0.004,0
2,0.000,54,2.793,2.990,2.795,2.988,0,0.004,0.004,0
3,0.000,70,2.853,3.170,2.855,3.168,0,0.004,0.004,0
4,0.000,60,3.060,3.177,3.062,3.175,0,0.004,0.004,0
5,0.000,53,3.060,2.923,3.062,2.922,0,0.004,0.004,0
6,0.000,67,2.993,2.637,2.995,2.635,0,0.004,0.004,0
7,0.000,74,3.140,2.643,3.142,2.642,0,0.004,0.004,0
8,0.000,54,3.167,2.357,3.168,2.355,0,0.004,0.004,0
9,0.000,58,3.307,2.603,3.308,2.602,0,0.004,0.004,0
10,0.000,74,3.347,2.910,3.348,2.908,0,0.004,0.004,0
11,0.000,60,3.347,3.070,3.348,3.068,0,0.004,0.004,0
12,0.000,82,3.667,3.057,3.668,3.055,0,0.004,0.004,0
13,0.000,77,3.527,2.810,3.528,2.808,0,0.004,0.004,0
14,0.000,50,3.660,2.777,3.662,2.775,0,0.004,0.004,0
15,0.000,81,3.960,2.823,3.962,2.822,0,0.004,0.004,0
16,0.000,50,3.940,2.483,3.942,2.482,0,0.004,0.004,0
17,0.000,50,3.780,2.423,3.782,2.422,0,0.004,0.004,0
18,0.000,67,3.513,2.383,3.515,2.382,0,0.004,0.004,0
19,0.000,60,3.727,2.117,3.728,2.115,0,0.004,0.004,0
20,0.000,71,4.080,2.117,4.082,2.115,0,0.004,0.004,0
21,0.000,133,4.340,2.137,4.342,2.135,0,0.004,0.004,0
22,0.000,74,4.273,2.403,4.275,2.402,0,0.004,0.004,0
