 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,102,2.320,1.650,2.322,1.648,0,0.004,0.004,0
2,0.000,45,2.327,1.370,2.328,1.368,0,0.004,0.004,0
3,0.000,48,2.333,1.163,2.335,1.162,0,0.004,0.004,0
4,0.000,49,2.560,1.390,2.562,1.388,0,0.004,0.004,0
5,0.000,45,2.580,1.677,2.582,1.675,0,0.004,0.004,0
6,0.000,43,2.760,1.390,2.762,1.388,0,0.004,0.004,0
7,0.000,64,2.680,1.017,2.682,1.015,0,0.004,0.004,0
8,0.000,53,2.880,1.017,2.882,1.015,0,0.004,0.004,0
9,0.000,46,3.180,1.090,3.182,1.088,0,0.004,0.004,0
10,0.000,43,3.060,1.443,3.062,1.442,0,0.004,0.004,0
11,0.000,40,2.987,1.710,2.988,1.708,0,0.004,0.004,0
12,0.000,42,3.340,1.590,3.342,1.588,0,0.004,0.004,0
13,0.000,56,3.500,1.683,3.502,1.682,0,0.004,0.004,0
14,0.000,64,3.420,1.430,3.422,1.428,0,0.004,0.004,0
15,0.000,47,3.567,1.443,3.568,1.442,0,0.004,0.004,0
16,0.000,72,3.800,1.403,3.802,1.402,0,0.004,0.004,0
17,0.000,86,3.753,1.157,3.755,1.155,0,0.004,0.004,0
18,0.000,77,3.480,1.150,3.482,1.148,0,0.004,0.004,0
