 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,66,2.187,3.057,2.188,3.055,0,0.004,0.004,0
2,0.000,61,2.053,2.790,2.055,2.788,0,0.004,0.004,0
3,0.000,54,2.307,2.903,2.308,2.902,0,0.004,0.004,0
4,0.000,48,2.407,2.817,2.408,2.815,0,0.004,0.004,0
5,0.000,73,2.327,2.577,2.328,2.575,0,0.004,0.004,0
6,0.000,76,2.100,2.430,2.102,2.428,0,0.004,0.004,0
7,0.000,51,2.347,2.317,2.348,2.315,0,0.004,0.004,0
8,0.000,74,2.207,1.983,2.208,1.982,0,0.004,0.004,0
9,0.000,43,2.427,1.750,2.428,1.748,0,0.004,0.004,0
10,0.000,127,2.633,1.857,2.635,1.855,0,0.004,0.004,0
11,0.000,62,2.553,2.030,2.555,2.028,0,0.004,0.004,0
12,0.000,54,2.747,2.010,2.748,2.008,0,0.004,0.004,0
13,0.000,57,2.647,2.163,2.648,2.162,0,0.004,0.004,0
14,0.000,54,2.680,2.370,2.682,2.368,0,0.004,0.004,0
