 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,253,2.400,3.997,2.402,3.995,0,0.004,0.004,0
2,0.000,40,2.047,2.683,2.048,2.682,0,0.004,0.004,0
3,0.000,36,2.227,2.857,2.228,2.855,0,0.004,0.004,0
4,0.000,38,2.253,2.737,2.255,2.735,0,0.004,0.004,0
5,0.000,32,2.467,2.883,2.468,2.882,0,0.004,0.004,0
6,0.000,58,2.540,3.063,2.542,3.062,0,0.004,0.004,0
7,0.000,33,2.540,2.663,2.542,2.662,0,0.004,0.004,0
8,0.000,32,2.400,2.657,2.402,2.655,0,0.004,0.004,0
9,0.000,44,2.280,2.410,2.282,2.408,0,0.004,0.004,0
10,0.000,52,2.013,2.330,2.015,2.328,0,0.004,0.004,0
11,0.000,41,2.173,2.197,2.175,2.195,0,0.004,0.004,0
12,0.000,37,2.287,2.057,2.288,2.055,0,0.004,0.004,0
13,0.000,50,2.493,2.330,2.495,2.328,0,0.004,0.004,0
