 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,40,1.720,1.790,1.722,1.788,0,0.004,0.004,0
2,0.000,68,1.847,1.637,1.848,1.635,0,0.004,0.004,0
3,0.000,59,1.847,1.457,1.848,1.455,0,0.004,0.004,0
4,0.000,48,1.993,1.710,1.995,1.708,0,0.004,0.004,0
5,0.000,37,1.993,1.870,1.995,1.868,0,0.004,0.004,0
6,0.000,60,2.047,1.503,2.048,1.502,0,0.004,0.004,0
7,0.000,64,2.347,1.523,2.348,1.522,0,0.004,0.004,0
8,0.000,51,2.187,1.183,2.188,1.182,0,0.004,0.004,0
9,0.000,73,2.487,1.290,2.488,1.288,0,0.004,0.004,0
10,0.000,47,2.640,1.710,2.642,1.708,0,0.004,0.004,0
11,0.000,50,2.453,1.710,2.455,1.708,0,0.004,0.004,0
12,0.000,46,2.353,1.870,2.355,1.868,0,0.004,0.004,0
