 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,42,2.053,1.730,2.055,1.728,0,0.004,0.004,0
2,0.000,47,2.253,1.970,2.255,1.968,0,0.004,0.004,0
3,0.000,37,2.607,2.143,2.608,2.142,0,0.004,0.004,0
4,0.000,32,2.607,1.937,2.608,1.935,0,0.004,0.004,0
5,0.000,27,2.627,1.797,2.628,1.795,0,0.004,0.004,0
6,0.000,47,2.833,2.017,2.835,2.015,0,0.004,0.004,0
7,0.000,35,3.007,2.017,3.008,2.015,0,0.004,0.004,0
8,0.000,28,2.993,1.763,2.995,1.762,0,0.004,0.004,0
9,0.000,29,2.473,1.530,2.475,1.528,0,0.004,0.004,0
10,0.000,52,2.533,1.203,2.535,1.202,0,0.004,0.004,0
11,0.000,29,2.740,1.417,2.742,1.415,0,0.004,0.004,0
12,0.000,37,2.933,1.123,2.935,1.122,0,0.004,0.004,0
13,0.000,30,3.173,1.263,3.175,1.262,0,0.004,0.004,0
14,0.000,26,3.473,1.763,3.475,1.762,0,0.004,0.004,0
15,0.000,58,3.440,1.510,3.442,1.508,0,0.004,0.004,0
16,0.000,28,3.660,1.423,3.662,1.422,0,0.004,0.004,0
17,0.000,43,3.533,1.277,3.535,1.275,0,0.004,0.004,0
18,0.000,51,3.587,1.130,3.588,1.128,0,0.004,0.004,0
19,0.000,72,3.307,1.023,3.308,1.022,0,0.004,0.004,0
