 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,81,2.707,1.830,2.708,1.828,0,0.004,0.004,0
2,0.000,58,2.933,2.057,2.935,2.055,0,0.004,0.004,0
3,0.000,81,2.920,1.823,2.922,1.822,0,0.004,0.004,0
4,0.000,55,3.067,1.843,3.068,1.842,0,0.004,0.004,0
5,0.000,73,2.753,1.603,2.755,1.602,0,0.004,0.004,0
6,0.000,80,3.060,1.603,3.062,1.602,0,0.004,0.004,0
7,0.000,96,3.300,1.757,3.302,1.755,0,0.004,0.004,0
8,0.000,61,3.567,1.643,3.568,1.642,0,0.004,0.004,0
9,0.000,84,3.647,1.863,3.648,1.862,0,0.004,0.004,0
10,0.000,60,3.413,1.937,3.415,1.935,0,0.004,0.004,0
11,0.000,57,3.313,2.163,3.315,2.162,0,0.004,0.004,0
12,0.000,72,3.513,2.310,3.515,2.308,0,0.004,0.004,0
13,0.000,80,3.507,2.217,3.508,2.215,0,0.004,0.004,0
14,0.000,57,3.627,2.023,3.628,2.022,0,0.004,0.004,0
15,0.000,61,3.720,2.183,3.722,2.182,0,0.004,0.004,0
16,0.000,55,3.900,2.390,3.902,2.388,0,0.004,0.004,0
17,0.000,83,4.207,2.523,4.208,2.522,0,0.004,0.004,0
18,0.000,62,4.193,2.263,4.195,2.262,0,0.004,0.004,0
19,0.000,70,3.933,1.910,3.935,1.908,0,0.004,0.004,0
20,0.000,54,4.060,2.443,4.062,2.442,0,0.004,0.004,0
