 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,35,1.987,3.110,1.988,3.108,0,0.004,0.004,0
2,0.000,47,1.793,2.970,1.795,2.968,0,0.004,0.004,0
3,0.000,36,1.840,2.730,1.842,2.728,0,0.004,0.004,0
4,0.000,48,1.567,2.650,1.568,2.648,0,0.004,0.004,0
5,0.000,49,1.820,2.477,1.822,2.475,0,0.004,0.004,0
6,0.000,31,1.787,2.323,1.788,2.322,0,0.004,0.004,0
7,0.000,57,1.473,2.243,1.475,2.242,0,0.004,0.004,0
8,0.000,49,1.693,1.970,1.695,1.968,0,0.004,0.004,0
9,0.000,30,1.707,1.777,1.708,1.775,0,0.004,0.004,0
10,0.000,40,1.787,1.370,1.788,1.368,0,0.004,0.004,0
11,0.000,37,1.953,1.570,1.955,1.568,0,0.004,0.004,0
12,0.000,46,2.147,1.570,2.148,1.568,0,0.004,0.004,0
13,0.000,33,2.127,2.037,2.128,2.035,0,0.004,0.004,0
14,0.000,41,2.067,1.857,2.068,1.855,0,0.004,0.004,0
15,0.000,65,2.367,1.963,2.368,1.962,0,0.004,0.004,0
16,0.000,25,2.473,2.137,2.475,2.135,0,0.004,0.004,0
17,0.000,36,2.273,2.397,2.275,2.395,0,0.004,0.004,0
18,0.000,41,2.227,2.670,2.228,2.668,0,0.004,0.004,0
19,0.000,45,2.067,2.377,2.068,2.375,0,0.004,0.004,0
20,0.000,28,2.580,2.550,2.582,2.548,0,0.004,0.004,0
21,0.000,34,2.280,2.990,2.282,2.988,0,0.004,0.004,0
