 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,49,2.407,2.590,2.408,2.588,0,0.004,0.004,0
2,0.000,38,2.400,2.963,2.402,2.962,0,0.004,0.004,0
3,0.000,83,2.527,2.717,2.528,2.715,0,0.004,0.004,0
4,0.000,43,2.680,2.823,2.682,2.822,0,0.004,0.004,0
5,0.000,49,2.653,2.977,2.655,2.975,0,0.004,0.004,0
6,0.000,42,2.627,3.350,2.628,3.348,0,0.004,0.004,0
7,0.000,62,2.860,3.230,2.862,3.228,0,0.004,0.004,0
8,0.000,59,2.913,2.937,2.915,2.935,0,0.004,0.004,0
9,0.000,76,2.927,2.677,2.928,2.675,0,0.004,0.004,0
10,0.000,43,2.680,2.450,2.682,2.448,0,0.004,0.004,0
