 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,39,3.800,1.810,3.802,1.808,0,0.004,0.004,0
2,0.000,47,3.920,2.110,3.922,2.108,0,0.004,0.004,0
3,0.000,43,4.100,2.083,4.102,2.082,0,0.004,0.004,0
4,0.000,36,4.100,1.930,4.102,1.928,0,0.004,0.004,0
5,0.000,54,3.953,1.477,3.955,1.475,0,0.004,0.004,0
6,0.000,63,4.120,1.263,4.122,1.262,0,0.004,0.004,0
7,0.000,42,4.307,1.583,4.308,1.582,0,0.004,0.004,0
8,0.000,54,4.527,1.730,4.528,1.728,0,0.004,0.004,0
9,0.000,65,4.473,1.990,4.475,1.988,0,0.004,0.004,0
10,0.000,58,4.340,2.123,4.342,2.122,0,0.004,0.004,0
11,0.000,51,4.420,2.290,4.422,2.288,0,0.004,0.004,0
12,0.000,43,4.207,2.363,4.208,2.362,0,0.004,0.004,0
13,0.000,38,4.500,2.630,4.502,2.628,0,0.004,0.004,0
14,0.000,55,4.660,2.763,4.662,2.762,0,0.004,0.004,0
15,0.000,54,4.753,2.430,4.755,2.428,0,0.004,0.004,0
16,0.000,52,4.660,2.110,4.662,2.108,0,0.004,0.004,0
