 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,40,2.760,1.630,2.762,1.628,0,0.004,0.004,0
2,0.000,44,2.440,1.457,2.442,1.455,0,0.004,0.004,0
3,0.000,61,2.340,1.683,2.342,1.682,0,0.004,0.004,0
4,0.000,45,2.513,1.963,2.515,1.962,0,0.004,0.004,0
5,0.000,52,2.800,1.843,2.802,1.842,0,0.004,0.004,0
6,0.000,38,3.027,1.823,3.028,1.822,0,0.004,0.004,0
7,0.000,34,3.173,2.110,3.175,2.108,0,0.004,0.004,0
8,0.000,35,2.853,2.110,2.855,2.108,0,0.004,0.004,0
9,0.000,64,2.867,2.350,2.868,2.348,0,0.004,0.004,0
10,0.000,40,2.573,2.163,2.575,2.162,0,0.004,0.004,0
11,0.000,35,2.573,2.390,2.575,2.388,0,0.004,0.004,0
12,0.000,57,2.313,2.363,2.315,2.362,0,0.004,0.004,0
13,0.000,50,2.573,2.630,2.575,2.628,0,0.004,0.004,0
14,0.000,39,2.820,2.630,2.822,2.628,0,0.004,0.004,0
15,0.000,53,2.693,2.750,2.695,2.748,0,0.004,0.004,0
16,0.000,56,2.747,2.957,2.748,2.955,0,0.004,0.004,0
17,0.000,53,2.880,3.103,2.882,3.102,0,0.004,0.004,0
18,0.000,37,3.033,3.017,3.035,3.015,0,0.004,0.004,0
19,0.000,52,3.033,2.763,3.035,2.762,0,0.004,0.004,0
20,0.000,39,3.053,2.530,3.055,2.528,0,0.004,0.004,0
21,0.000,36,3.320,2.737,3.322,2.735,0,0.004,0.004,0
