 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,48,2.867,3.483,2.868,3.482,0,0.004,0.004,0
2,0.000,36,2.840,3.177,2.842,3.175,0,0.004,0.004,0
3,0.000,49,3.033,3.203,3.035,3.202,0,0.004,0.004,0
4,0.000,57,3.173,3.383,3.175,3.382,0,0.004,0.004,0
5,0.000,52,3.180,3.110,3.182,3.108,0,0.004,0.004,0
6,0.000,60,2.980,3.010,2.982,3.008,0,0.004,0.004,0
7,0.000,40,2.907,2.877,2.908,2.875,0,0.004,0.004,0
8,0.000,39,3.147,2.877,3.148,2.875,0,0.004,0.004,0
9,0.000,54,3.567,3.263,3.568,3.262,0,0.004,0.004,0
10,0.000,40,3.560,3.083,3.562,3.082,0,0.004,0.004,0
11,0.000,32,3.453,2.877,3.455,2.875,0,0.004,0.004,0
12,0.000,36,3.293,2.630,3.295,2.628,0,0.004,0.004,0
13,0.000,40,3.040,2.570,3.042,2.568,0,0.004,0.004,0
14,0.000,40,3.233,2.370,3.235,2.368,0,0.004,0.004,0
15,0.000,32,3.440,2.417,3.442,2.415,0,0.004,0.004,0
16,0.000,40,3.493,2.070,3.495,2.068,0,0.004,0.004,0
17,0.000,34,3.727,2.237,3.728,2.235,0,0.004,0.004,0
18,0.000,51,3.920,2.403,3.922,2.402,0,0.004,0.004,0
19,0.000,35,3.760,2.590,3.762,2.588,0,0.004,0.004,0
20,0.000,40,3.667,2.723,3.668,2.722,0,0.004,0.004,0
21,0.000,43,3.753,2.943,3.755,2.942,0,0.004,0.004,0
