 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,27,2.040,3.110,2.042,3.108,0,0.004,0.004,0
2,0.000,32,1.680,2.983,1.682,2.982,0,0.004,0.004,0
3,0.000,27,1.647,2.630,1.648,2.628,0,0.004,0.004,0
4,0.000,24,1.860,2.757,1.862,2.755,0,0.004,0.004,0
5,0.000,20,1.860,2.463,1.862,2.462,0,0.004,0.004,0
6,0.000,21,2.100,2.617,2.102,2.615,0,0.004,0.004,0
7,0.000,28,2.213,2.830,2.215,2.828,0,0.004,0.004,0
8,0.000,23,2.240,2.223,2.242,2.222,0,0.004,0.004,0
9,0.000,26,2.087,2.243,2.088,2.242,0,0.004,0.004,0
10,0.000,21,1.913,2.110,1.915,2.108,0,0.004,0.004,0
11,0.000,29,1.653,2.230,1.655,2.228,0,0.004,0.004,0
12,0.000,26,1.807,1.883,1.808,1.882,0,0.004,0.004,0
13,0.000,33,2.220,1.883,2.222,1.882,0,0.004,0.004,0
14,0.000,44,2.033,1.717,2.035,1.715,0,0.004,0.004,0
15,0.000,36,2.353,1.623,2.355,1.622,0,0.004,0.004,0
