 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,47,3.513,2.950,3.515,2.948,0,0.004,0.004,0
2,0.000,45,3.407,2.683,3.408,2.682,0,0.004,0.004,0
3,0.000,49,3.100,2.450,3.102,2.448,0,0.004,0.004,0
4,0.000,49,3.353,2.410,3.355,2.408,0,0.004,0.004,0
5,0.000,45,3.247,2.043,3.248,2.042,0,0.004,0.004,0
6,0.000,52,3.487,2.077,3.488,2.075,0,0.004,0.004,0
7,0.000,49,3.660,1.923,3.662,1.922,0,0.004,0.004,0
8,0.000,43,3.607,1.697,3.608,1.695,0,0.004,0.004,0
9,0.000,68,3.767,1.550,3.768,1.548,0,0.004,0.004,0
10,0.000,40,3.867,1.690,3.868,1.688,0,0.004,0.004,0
11,0.000,68,4.033,1.377,4.035,1.375,0,0.004,0.004,0
12,0.000,79,4.180,1.577,4.182,1.575,0,0.004,0.004,0
13,0.000,61,4.247,2.063,4.248,2.062,0,0.004,0.004,0
14,0.000,54,3.913,2.157,3.915,2.155,0,0.004,0.004,0
15,0.000,61,3.787,2.423,3.788,2.422,0,0.004,0.004,0
16,0.000,74,3.787,2.643,3.788,2.642,0,0.004,0.004,0
17,0.000,55,4.073,2.437,4.075,2.435,0,0.004,0.004,0
