 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,44,1.413,2.530,1.415,2.528,0,0.004,0.004,0
2,0.000,63,1.520,2.870,1.522,2.868,0,0.004,0.004,0
3,0.000,43,1.633,3.263,1.635,3.262,0,0.004,0.004,0
4,0.000,43,1.820,3.417,1.822,3.415,0,0.004,0.004,0
5,0.000,47,1.920,3.090,1.922,3.088,0,0.004,0.004,0
6,0.000,26,1.727,2.597,1.728,2.595,0,0.004,0.004,0
7,0.000,61,1.960,2.657,1.962,2.655,0,0.004,0.004,0
8,0.000,33,2.180,2.617,2.182,2.615,0,0.004,0.004,0
9,0.000,65,2.280,2.723,2.282,2.722,0,0.004,0.004,0
10,0.000,28,2.500,2.723,2.502,2.722,0,0.004,0.004,0
11,0.000,25,2.500,3.090,2.502,3.088,0,0.004,0.004,0
12,0.000,45,2.167,3.323,2.168,3.322,0,0.004,0.004,0
13,0.000,38,2.167,3.610,2.168,3.608,0,0.004,0.004,0
14,0.000,36,2.560,3.543,2.562,3.542,0,0.004,0.004,0
15,0.000,50,2.400,3.363,2.402,3.362,0,0.004,0.004,0
16,0.000,36,2.633,3.797,2.635,3.795,0,0.004,0.004,0
17,0.000,28,3.007,3.650,3.008,3.648,0,0.004,0.004,0
18,0.000,55,2.807,3.370,2.808,3.368,0,0.004,0.004,0
19,0.000,29,3.040,3.370,3.042,3.368,0,0.004,0.004,0
20,0.000,36,2.947,2.977,2.948,2.975,0,0.004,0.004,0
