 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,37,2.773,1.803,2.775,1.802,0,0.004,0.004,0
2,0.000,32,3.040,2.103,3.042,2.102,0,0.004,0.004,0
3,0.000,51,3.060,1.750,3.062,1.748,0,0.004,0.004,0
4,0.000,36,2.913,1.457,2.915,1.455,0,0.004,0.004,0
5,0.000,44,3.100,1.337,3.102,1.335,0,0.004,0.004,0
6,0.000,61,3.247,1.543,3.248,1.542,0,0.004,0.004,0
7,0.000,31,3.247,1.870,3.248,1.868,0,0.004,0.004,0
8,0.000,33,3.433,2.257,3.435,2.255,0,0.004,0.004,0
9,0.000,31,3.627,2.050,3.628,2.048,0,0.004,0.004,0
10,0.000,54,3.460,2.083,3.462,2.082,0,0.004,0.004,0
11,0.000,47,3.620,1.603,3.622,1.602,0,0.004,0.004,0
12,0.000,41,3.600,1.337,3.602,1.335,0,0.004,0.004,0
13,0.000,56,3.920,1.437,3.922,1.435,0,0.004,0.004,0
14,0.000,55,3.827,1.770,3.828,1.768,0,0.004,0.004,0
15,0.000,56,3.987,1.863,3.988,1.862,0,0.004,0.004,0
16,0.000,31,4.100,2.003,4.102,2.002,0,0.004,0.004,0
17,0.000,71,4.440,2.097,4.442,2.095,0,0.004,0.004,0
18,0.000,41,4.367,1.757,4.368,1.755,0,0.004,0.004,0
19,0.000,55,4.347,2.570,4.348,2.568,0,0.004,0.004,0
20,0.000,42,4.120,2.490,4.122,2.488,0,0.004,0.004,0
21,0.000,40,3.913,2.450,3.915,2.448,0,0.004,0.004,0
