 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,50,3.093,2.637,3.095,2.635,0,0.004,0.004,0
2,0.000,63,3.433,2.577,3.435,2.575,0,0.004,0.004,0
3,0.000,51,3.187,2.257,3.188,2.255,0,0.004,0.004,0
4,0.000,50,3.467,2.257,3.468,2.255,0,0.004,0.004,0
5,0.000,50,3.307,1.843,3.308,1.842,0,0.004,0.004,0
6,0.000,52,3.107,2.017,3.108,2.015,0,0.004,0.004,0
7,0.000,55,3.673,1.870,3.675,1.868,0,0.004,0.004,0
8,0.000,51,3.240,1.563,3.242,1.562,0,0.004,0.004,0
9,0.000,45,3.053,1.690,3.055,1.688,0,0.004,0.004,0
10,0.000,42,2.953,2.003,2.955,2.002,0,0.004,0.004,0
11,0.000,38,2.800,1.937,2.802,1.935,0,0.004,0.004,0
12,0.000,42,2.613,2.057,2.615,2.055,0,0.004,0.004,0
13,0.000,40,2.613,1.737,2.615,1.735,0,0.004,0.004,0
14,0.000,40,2.640,1.597,2.642,1.595,0,0.004,0.004,0
15,0.000,41,2.493,1.537,2.495,1.535,0,0.004,0.004,0
16,0.000,50,2.333,1.797,2.335,1.795,0,0.004,0.004,0
17,0.000,40,2.687,1.263,2.688,1.262,0,0.004,0.004,0
18,0.000,46,2.893,1.330,2.895,1.328,0,0.004,0.004,0
19,0.000,45,2.893,1.077,2.895,1.075,0,0.004,0.004,0
