unique_id,term,estimate,std.error,statistic,p.value,conf.low,conf.high
10_1,K,0.05104917477479495,0.01010789232814647,5.050427242150498,0.03704063075561052,0.0075584242570818985,0.09453992529250801
10_1,Linf,2910.4448258404086,101.08753304312225,28.791332998490144,0.0012041801119375634,2475.50027584878,3345.3893758320373
10_1,t0,-6.302865908792529,1.4375117530741504,-4.384566522891873,0.048281062051977276,-12.487979777203957,-0.11775204038110143
10_3,K,0.020847263810342513,0.0012282854045627778,16.972654509204506,0.0034533947905031723,0.015562378261489054,0.026132149359195972
10_3,Linf,2997.6441918985,72.35304863753719,41.43079315034287,5.820686277858136e-4,2686.334149672505,3308.954234124495
10_3,t0,-13.123115578115412,0.5451159735300988,-24.07398831689311,0.001721003085753257,-15.468560309654727,-10.777670846576097
10_4,K,0.032934350196844694,0.014023114240942339,2.3485760460175458,0.14332371079041795,-0.02740224057153442,0.09327094096522381
10_4,Linf,2681.112279352996,359.8973700946988,7.44965788065504,0.017546021439019253,1132.598877485388,4229.625681220605
10_4,t0,-9.448716555868236,3.785578689254114,-2.495976792845363,0.12995190598682488,-25.73674703686884,6.839313925132368
10_7,K,0.023432894178472326,NaN,NaN,NaN,NaN,NaN
10_7,Linf,3502.419513116082,NaN,NaN,NaN,NaN,NaN
10_7,t0,-15,NaN,NaN,NaN,NaN,NaN
10_8,K,0.012427403679698697,0.017040030126919105,0.7293064382595439,0.5416599450252466,-0.06088992846090286,0.08574473582030026
10_8,Linf,3887.2924535569964,2912.621055399299,1.3346372149411234,0.31365075306911994,-8644.704481182556,16419.28938829655
10_8,t0,-15,10.64537294358293,-1.4090628932866138,0.29418440982879956,-60.80334295490815,30.803342954908153
16_2,K,0.11236813544825956,0.025929670933570598,4.333573524173764,0.04934077691600472,8.017660244267477e-4,0.22393450487209238
16_2,Linf,2625.109895975206,111.39667315170814,23.56542454728553,0.0017958841702197376,2145.8086961540007,3104.4110957964117
16_2,t0,-3.1605394325161056,0.6316806450123649,-5.003381783930137,0.0377013873694232,-5.878441884108458,-0.4426369809237536
16_3,K,0.06219774525182568,0.008606201002228133,7.227084893290637,0.01861294158948898,0.025168251016816245,0.09922723948683511
16_3,Linf,2945.0052006989417,161.4592578852987,18.23992776426041,0.0029922720177410584,2250.302084015439,3639.7083173824444
16_3,t0,-3.8322286095545635,0.4288176513425812,-8.936732425907083,0.01229073566556376,-5.6772820476684736,-1.9871751714406534
16_5,K,0.0972220919488492,0.021396482409345167,4.543835294458789,0.04517755820845095,0.00516045850324387,0.18928372539445454
16_5,Linf,2450.2851506525208,125.62493385957275,19.504767687213445,0.002618244454954421,1909.7646860570344,2990.805615248007
16_5,t0,-3.674437656921053,0.7897450906342318,-4.6526881907808635,0.04322181779559257,-7.072436526944667,-0.2764387868974385
16_6,K,0.09028505690786971,0.005381041466506709,16.77836111649246,0.003533412624888586,0.06713230415310957,0.11343780966262985
16_6,Linf,2500.347891169987,41.35091440419347,60.466568326151034,2.733954150745623e-4,2322.429266431148,2678.2665159088265
16_6,t0,-3.337188224340875,0.18651046102334398,-17.8927670117291,0.003108966159097442,-4.139677968589797,-2.5346984800919534
16_7,K,0.09827169573874027,0.006659164769483228,14.757360591089032,0.004560409602227932,0.06961962226547182,0.12692376921200874
16_7,Linf,2645.072547266637,48.30515821953089,54.75755891835943,3.33345536519256e-4,2437.2322263923925,2852.912868140881
16_7,t0,-3.227639717474693,0.18995744622349003,-16.991382973622883,0.003445825376266139,-4.044960642004429,-2.410318792944957
16_8,K,0.07428443200687306,0.01226384148029153,6.057191144084097,0.026189713397861233,0.021517380984482026,0.12705148302926408
16_8,Linf,2777.987521174701,149.9509965542984,18.525969049954067,0.00290098248000628,2132.800456521697,3423.1745858277054
16_8,t0,-3.6348769163506254,0.5527970595741412,-6.5754273713952625,0.022356064042955065,-6.01337069372478,-1.2563831389764708
20_1,K,0.037039106537302156,0.0200513944991405,1.847208509058551,0.20598294029163086,-0.049235080739708066,0.12331329381431239
20_1,Linf,3636.0617030212234,1125.3556523536884,3.2310334030103083,0.08390894177590756,-1205.9528665173602,8478.076272559807
20_1,t0,-5.759806814310929,1.3236002513197356,-4.351621124707358,0.04896186459894712,-11.454799048748864,-0.0648145798729951
20_2,K,0.08510113931721631,0.009026297602489535,9.428133556525395,0.011063547557204689,0.04626411529833369,0.12393816333609894
20_2,Linf,2918.362237537395,82.46356553072124,35.38971688594012,7.974914989024046e-4,2563.5501522017635,3273.174322873026
20_2,t0,-4.185120960982003,0.3877545545645229,-10.793221927933777,0.008475185926335458,-5.853494153651834,-2.5167477683121717
20_3,K,0.08415089913376315,0.009796122013253902,8.590225705632202,0.013282217177466296,0.04200158801247746,0.12630021025504884
20_3,Linf,2905.641027181118,116.23540622532903,24.99789970663814,0.0015964377972953877,2405.5204392921682,3405.7616150700674
20_3,t0,-3.4136787590561095,0.28165580482901575,-12.12003694057875,0.006738834869288142,-4.625545876553455,-2.2018116415587636
20_4,K,0.12744698072502675,0.016405988162343215,7.768320899899022,0.01617004833117034,0.05685771097408336,0.19803625047597012
20_4,Linf,2818.064253913783,90.24829571914916,31.225678351683683,0.0010240207282646962,2429.7571779825494,3206.3713298450166
20_4,t0,-2.0848137945337823,0.26614331091255133,-7.833425485635463,0.015908735842096167,-3.2299360377362314,-0.9396915513313333
20_5,K,0.13458767032199137,0.06742774602275088,1.9960280190380377,0.1840450123420892,-0.15553050516365113,0.4247058458076339
20_5,Linf,2300.585115260066,195.49607747549584,11.767934911882971,0.007143750124340087,1459.4333838548114,3141.73684666532
