temperature,log_mass,stage,mass,replicate,experiment
10,-2.273998024980946,clutch1,0.10289995998849394,1,acute
10,-3.1548621604856546,clutch1,0.042644278654216,2,acute
10,-3.5426388542334446,clutch1,0.028936866070302363,4,acute
10,-2.7991872947434664,clutch1,0.06085950337041911,5,acute
10,-2.9273095064421284,clutch1,0.053540895969832095,6,acute
10,-3.135882926291873,clutch1,0.043461363703276606,7,acute
10,-3.1970139379762146,clutch1,0.04088410435814145,8,acute
16,-3.582910141666916,clutch1,0.027794693948432543,1,acute
16,-3.327098980351601,clutch1,0.03589709233035092,2,acute
16,-3.3128833298788014,clutch1,0.03641103722338491,3,acute
16,-3.213297492375813,clutch1,0.040223756814415076,4,acute
16,-3.3004390077831682,clutch1,0.036866978957369394,5,acute
16,-3.235831647866236,clutch1,0.03932748471739068,6,acute
16,-3.302705176409693,clutch1,0.036783526760390955,7,acute
16,-3.5666808473964418,clutch1,0.02824946252042224,8,acute
20,-3.679588212213935,clutch1,0.025233363487005743,1,acute
20,-3.52458378376155,clutch1,0.029464068240996,2,acute
20,-3.498445062540594,clutch1,0.0302443749899842,3,acute
20,-3.3301315475939495,clutch1,0.0357883968804858,4,acute
20,-3.7006303507609273,clutch1,0.024707946887432844,5,acute
20,-3.3550142083001275,clutch1,0.034908874155471004,6,acute
20,-3.5096021749747774,clutch1,0.02990881054379388,7,acute
20,-4.049809562113732,clutch1,0.017425692835638718,8,acute
24,-3.395862802911006,clutch1,0.03351162776506075,1,acute
24,-3.9024063009933414,clutch1,0.02019326187042058,2,acute
24,-3.8319687025311344,clutch1,0.021666917897965165,3,acute
24,-3.5351199535662667,clutch1,0.029155259502280626,4,acute
24,-3.2692485379023144,clutch1,0.038034998198303326,5,acute
24,-3.617910161254756,clutch1,0.02683870649411558,6,acute
24,-2.9569700869798727,clutch1,0.05197616208346033,8,acute
27,-3.408867537582328,clutch1,0.03307863948874032,1,acute
27,-3.5868078459906365,clutch1,0.027686569305484073,2,acute
27,-3.5758434852947016,clutch1,0.02799180513778664,3,acute
27,-3.932887280722204,clutch1,0.019587037555901573,4,acute
27,-3.5203503277760695,clutch1,0.029589067479747322,5,acute
27,-3.6768826899058205,clutch1,0.02530172535040194,6,acute
27,-3.46201828815678,clutch1,0.03136639167323568,7,acute
27,-3.299380042248494,clutch1,0.03690604049621417,8,acute
10,-2.2310063347814793,clutch2,0.10742027496583359,1,acute
10,-2.881671681513544,clutch2,0.05604100177998193,2,acute
10,-3.2859990085641897,clutch2,0.03740320030522174,4,acute
10,-2.653824903568401,clutch2,0.07038149513483939,5,acute
10,-2.8705222337685186,clutch2,0.05666932421609794,7,acute
10,-2.9343012085806883,clutch2,0.05316785957229018,8,acute
16,-3.3737294180960897,clutch2,0.03426162286577556,1,acute
16,-3.105827709196306,clutch2,0.04478743224349503,2,acute
16,-3.064560696973787,clutch2,0.04667434154084241,3,acute
16,-3.0537321468090264,clutch2,0.047182503351984255,4,acute
16,-3.32942773068456,clutch2,0.03581359422548884,5,acute
16,-3.2357357220409444,clutch2,0.03933125741976574,6,acute
16,-3.07221496378025,clutch2,0.046318447469347705,7,acute
16,-2.829527543754765,clutch2,0.059040741248024706,8,acute
20,-3.6977408953674016,clutch2,0.024779442639980713,1,acute
20,-3.5236970661475753,clutch2,0.029490206136037995,2,acute
20,-3.361695868139661,clutch2,0.03467640244630734,3,acute
20,-3.2562862326471533,clutch2,0.03853122865255158,4,acute
20,-3.5239724829501182,clutch2,0.02948208515613616,5,acute
20,-3.1045641282915493,clutch2,0.044844060557344426,6,acute
20,-3.4028294422713237,clutch2,0.03327897568258371,7,acute
20,-4.031498699926155,clutch2,0.017747711518176394,8,acute
24,-3.206340578314399,clutch2,0.040504565682819425,1,acute
24,-3.6951214720592045,clutch2,0.024844435574437947,2,acute
24,-3.6721566319473653,clutch2,0.02542158578143247,3,acute
24,-3.403384677798438,clutch2,0.03326050314175881,4,acute
24,-3.1245897039059725,clutch2,0.043954964474397576,5,acute
24,-3.3541338688195346,clutch2,0.03493961934673035,6,acute
24,-3.619175562915991,clutch2,0.026804766228895407,7,acute
24,-2.72604476252355,clutch2,0.06547775826219047,8,acute
27,-3.179347446063086,clutch2,0.04161280086020779,1,acute
27,-3.337264391359428,clutch2,0.035534032087536103,2,acute
27,-3.4925968744462943,clutch2,0.030421767991952165,3,acute
27,-3.643597688975174,clutch2,0.026158065890515565,4,acute
27,-3.2926096300813876,clutch2,0.037156757372418026,5,acute
27,-3.540381584321746,clutch2,0.02900225816345803,6,acute
27,-3.305543211550692,clutch2,0.03667928181421492,7,acute
27,-3.2420131737352027,clutch2,0.0390851306838333,8,acute
10,-2.098769283446556,clutch3,0.12260723018449067,1,acute
10,-2.662856312881937,clutch3,0.06974871280343846,2,acute
10,-3.3053416354909535,clutch3,0.03668667622456009,4,acute
10,-2.634622625408645,clutch3,0.07174603943281216,5,acute
10,-2.7665863162068636,clutch3,0.06287627853559295,7,acute
10,-2.7240255283579278,clutch3,0.06561010676510251,8,acute
16,-3.220105479745032,clutch3,0.03995084403355754,1,acute
16,-3.029291357628884,clutch3,0.04834988876872642,2,acute
16,-2.9204864884021147,clutch3,0.05390745556823519,4,acute
16,-2.8400441325597297,clutch3,0.05842308754720439,5,acute
16,-3.0315552022228864,clutch3,0.048240555937380476,6,acute
16,-2.8015922343155366,clutch3,0.06071331579902391,7,acute
16,-2.3140831447615042,clutch3,0.09885677982059907,8,acute
20,-3.22534770384126,clutch3,0.03974196074117291,1,acute
20,-3.2813832808673826,clutch3,0.0375762423430624,3,acute
20,-3.293908120946907,clutch3,0.037108540973429166,4,acute
20,-3.159518811498554,clutch3,0.042446160771750965,6,acute
20,-2.9885699533867145,clutch3,0.050359401546430635,7,acute
24,-3.1725712157286834,clutch3,0.041895736318980255,1,acute
24,-3.5246366188222393,clutch3,0.029462511546286724,2,acute
24,-3.2294043730366293,clutch3,0.03958106731961014,3,acute
24,-3.302478356928905,clutch3,0.03679187092710631,4,acute
24,-3.0661399765568578,clutch3,0.04660068788136244,5,acute
24,-3.255053716256038,clutch3,0.03857874830179339,6,acute
24,-3.4504957516444787,clutch3,0.03172990232704158,7,acute
24,-2.729352613033736,clutch3,0.06526152545618188,8,acute
27,-3.1250248385955586,clutch3,0.04393584230523652,1,acute
27,-3.4599916691185175,clutch3,0.03143002385708078,3,acute
27,-3.666679807995348,clutch3,0.025561197296205086,4,acute
27,-3.277436910472407,clutch3,0.037724825101866144,5,acute
27,-3.495982279247679,clutch3,0.0303189521273838,6,acute
27,-3.2631243280591558,clutch3,0.038268647236254366,7,acute
27,-3.1999718357217546,clutch3,0.04076335203258795,8,acute
10,-3.072931392915056,clutch1,0.04628527546821458,1,acclimated
10,-2.9744630632806643,clutch2,0.05107485060573046,1,acclimated
10,-2.7981177474459504,clutch3,0.060924630309739686,1,acclimated
10,-2.661428212837546,clutch4,0.06984839210235379,1,acclimated
10,-2.573830654061733,clutch5,0.07624292504750686,1,acclimated
10,-2.5709425832723145,clutch6,0.07646343828788628,1,acclimated
