term,estimate,std.error,statistic,p.value
(Intercept),3291.4637499871765,156.62025578512856,21.01556873015724,6.718177958709861e-20
temperature,-38.7808051295204,7.576160139258416,-5.118794272650685,1.5278590887442676e-5
