unique_id,temperature,replicate,stage,final_baby_count,size_um,age,cumulative_babies
24_2,24,2,clutch2,12,2146.594,12,13
24_2,24,2,clutch3,10,2299.43,14,23
24_2,24,2,clutch4,3,2270.636,15,26
24_2,24,2,clutch5,19,2316.339,16,45
24_2,24,2,clutch6,9,2465.677,18,54
24_3,24,3,clutch1,8,1940.764,5,8
24_3,24,3,clutch2,10,2101.258,7,18
24_3,24,3,clutch4,12,2465.874,12,30
24_3,24,3,clutch5,16,2567.252,14,46
24_3,24,3,clutch6,23,2626.238,15,69
24_4,24,4,clutch1,5,1948.343,9,5
24_4,24,4,clutch2,7,2125.125,11,12
24_4,24,4,clutch3,13,2254.742,13,25
24_4,24,4,clutch4,18,2301.395,15,43
24_4,24,4,clutch5,4,2171.262,16,47
24_4,24,4,clutch6,13,2389.109,17,60
24_6,24,6,clutch1,11,1901.552,11,11
24_6,24,6,clutch2,16,2262.729,16,27
24_6,24,6,clutch3,18,2255.029,17,45
24_6,24,6,clutch4,2,2242.011,19,47
24_6,24,6,clutch5,14,2293.745,20,61
24_6,24,6,clutch6,10,2402.612,22,71
24_7,24,7,clutch1,1,2014.36,8,1
24_7,24,7,clutch2,14,2314.269,12,15
24_7,24,7,clutch3,8,2410.965,14,23
24_7,24,7,clutch4,9,2498.962,16,32
24_7,24,7,clutch5,1,2517.828,17,33
24_7,24,7,clutch6,13,2696.611,18,46
24_8,24,8,clutch1,10,2090.097,8,10
24_8,24,8,clutch2,9,2250.259,11,19
24_8,24,8,clutch3,14,2392.725,12,33
24_8,24,8,clutch4,10,2491.413,14,43
24_8,24,8,clutch5,22,2557.017,16,65
24_8,24,8,clutch6,23,2567.761,19,88
27_1,27,1,clutch1,3,1752.667,5,3
27_1,27,1,clutch2,5,2092.488,10,8
27_1,27,1,clutch3,5,2265.454,13,13
27_1,27,1,clutch4,4,2311.668,14,17
27_1,27,1,clutch5,4,2469.831,16,21
27_1,27,1,clutch6,16,2532.014,19,37
27_2,27,2,clutch1,10,1752.667,6,10
27_2,27,2,clutch2,3,1964.67,9,13
27_2,27,2,clutch3,10,2138.988,10,23
27_2,27,2,clutch4,12,2176.343,13,35
27_2,27,2,clutch5,17,2317.98,14,52
27_2,27,2,clutch6,11,2392.716,16,63
27_3,27,3,clutch1,7,1773.557,8,7
27_3,27,3,clutch2,7,1901.644,12,14
27_3,27,3,clutch3,8,2076.56,16,22
27_3,27,3,clutch4,8,2061.191,17,30
27_3,27,3,clutch5,4,2104.068,19,34
27_4,27,4,clutch1,9,1766.513,5,9
27_4,27,4,clutch2,9,1935.807,10,18
27_4,27,4,clutch3,12,NA,11,30
27_4,27,4,clutch4,7,2201.173,13,37
27_4,27,4,clutch5,10,2227.095,15,47
27_4,27,4,clutch6,7,2347.62,17,54
27_5,27,5,clutch1,8,NA,8,8
27_5,27,5,clutch2,2,2059.762,10,10
27_5,27,5,clutch3,12,2071.122,11,22
27_5,27,5,clutch4,6,2223.181,14,28
27_5,27,5,clutch5,12,2281.752,15,40
27_5,27,5,clutch6,11,2276.951,18,51
27_6,27,6,clutch1,4,1864.756,6,4
27_6,27,6,clutch2,12,1941.501,7,16
27_6,27,6,clutch3,6,2160.023,9,22
27_6,27,6,clutch4,9,2298.731,11,31
27_6,27,6,clutch5,11,2298.731,12,42
27_6,27,6,clutch6,12,2550.926,14,54
27_7,27,7,clutch2,4,1747.451,9,4
27_7,27,7,clutch3,2,NA,11,6
27_7,27,7,clutch4,2,1910.775,13,8
27_7,27,7,clutch5,5,1927.536,15,13
27_7,27,7,clutch6,3,2001.011,18,16
27_8,27,8,clutch1,1,1619.405,5,1
27_8,27,8,clutch2,4,1709.397,9,5
27_8,27,8,clutch3,5,1822.607,10,10
27_8,27,8,clutch4,15,2004.027,13,25
27_8,27,8,clutch5,6,2267.025,17,31
27_8,27,8,clutch6,11,2358.185,19,42
