temperature,replicate,clutch1_size,clutch2_size,clutch3_size,neonate_size,clutch1_age,clutch2_age,clutch3_age,neonate_age,somatic_growth_rate
27,1,2208.543,2407.572,2457.245,1254.07,7,8,9,1,136.35328571428573
27,3,2074.168,2140.107,2166.501,1392.98,7,8,10,1,97.31257142857145
27,4,1813.635,2022.003,2004.533,845.633,10,12,14,1,96.80019999999999
27,5,2117.894,2307.21,2320.408,1280.91,7,8,9,1,119.56914285714281
27,6,1996.859,2102.005,2137.385,1013.75,7,8,10,1,140.44414285714285
27,7,2164.851,2296.019,2332.927,1361.97,7,8,10,1,114.69728571428573
27,8,2301.345,2351.516,2388.977,1079.351,7,8,10,1,174.57057142857138
24,1,2219.367,2383.264,2413.713,1111.448,7,9,10,1,158.27414285714286
24,2,1834.537,1983.214,2114.484,844.282,7,9,11,1,141.465
24,3,1883.765,2000.41,2362.689,696.378,7,9,16,1,169.62671428571431
24,4,2106.167,2213.1,2298.666,903.203,7,9,11,1,171.852
24,5,2327.562,2457.647,2512.248,1165.565,7,9,11,1,165.99957142857141
24,6,2041.624,2254.458,2340.016,725.255,7,9,11,1,188.0527142857143
24,8,2617.499,2854.89,2851.342,1091.848,22,26,30,1,69.34777272727273
20,1,1994.829,1981.262,2366.295,1011.361,9,10,13,1,109.27422222222222
20,3,2135.407,2248.058,2316.968,1123.581,9,12,15,1,112.42511111111114
20,4,2274.893,2338.932,2306.084,721.206,9,11,14,1,172.63188888888888
20,6,2253.712,2476.219,2425.586,988.567,16,19,25,1,79.0715625
20,7,2126.469,2213.562,2586.588,894.162,9,14,28,1,136.923
16,1,2068.665,2237.911,2370.963,830.25,21,24,28,1,58.972142857142856
16,2,2277.488,2475.043,2547.292,806.23,22,26,30,1,66.87536363636363
16,4,2377.039,2523.994,2653.647,871.465,11,15,19,1,136.87036363636363
16,5,2300.429,2275.495,2735.123,743.176,11,14,19,1,141.56845454545456
16,6,2356.987,2357.072,2545.125,904.83,11,15,19,1,132.01427272727275
16,7,2298.47,2506.517,2774.948,743.54,12,15,24,1,129.5775
16,8,2081.325,2745.958,3333.111,811.08,11,29,64,1,115.47681818181817
10,1,3383.72,3438.853,3614.13,845.2325,84,92,101,1,30.220089285714284
10,2,2429.836,2692.653,2923.52,1212.71,19,27,34,1,64.05926315789472
10,4,2100.222,2312.951,2296.193,663.7625,26,33,40,1,55.248442307692315
10,5,2777.458,2933.463,2954.716,778.593,31,38,45,1,64.47951612903226
10,7,2447.235,2703.963,2811.708,721.976,34,43,51,1,50.74291176470588
10,8,2391.635,2639.901,2857.058,748.924,27,34,41,1,60.84114814814816
